,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
"aux(magnitude3@L3,L1.0>0.0,hn)",cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),1.03,1.39,1.46,2.15,2.83,4.33,6.24,18.16,47.16,,,0.05,-0.13,0.01,0.30,0.27,0.40,0.67,2.28,2.84,,,3,3,3,3,3,3,3,3,3,grid_mag3_cub_3pct grid_mag3_cub_5pct grid_mag3_cub_7pct grid_mag3_cub_10pct grid_mag3_cub_15pct grid_mag3_cub_20pct grid_mag3_cub_25pct grid_mag3_cub_50pct grid_mag3_cub_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),1.05,1.35,1.45,2.19,2.73,4.16,6.24,17.86,47.55,,,0.07,-0.18,0.00,0.34,0.17,0.24,0.67,1.98,3.23,,,3,3,3,3,3,3,3,3,3,grid_mag6o_cub_3pct grid_mag6o_cub_5pct grid_mag6o_cub_7pct grid_mag6o_cub_10pct grid_mag6o_cub_15pct grid_mag6o_cub_20pct grid_mag6o_cub_25pct grid_mag6o_cub_50pct grid_mag6o_cub_100pct
"aux(magnitude@L3,L1.0>0.0)",cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),1.00,1.44,1.39,2.18,2.91,4.02,6.13,17.70,47.06,,,0.02,-0.08,-0.06,0.33,0.35,0.10,0.56,1.82,2.74,,,3,3,3,3,3,3,3,3,3,grid_cub_r18_axmagnitudeL3_l10to00_ad3977_3pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_5pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_7pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_10pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_15pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_20pct cub_aux_25pct grid_cub_r18_axmagnitudeL3_l10to00_ad3977_50pct cub_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),0.70,1.94,1.84,2.17,2.73,4.46,6.52,16.79,47.16,,,-0.54,-0.07,-0.30,-0.78,-1.01,-1.47,-2.34,-7.90,-7.37,,,3,3,3,3,3,3,3,3,3,diagtransfer2_cub_aux_3pct diagtransfer2_cub_aux_5pct diagtransfer2_cub_aux_7pct diagtransfer2_cub_aux_10pct diagtransfer2_cub_aux_15pct diagtransfer2_cub_aux_20pct diagtransfer2_cub_aux_25pct diagtransfer2_cub_aux_50pct diagtransfer_cub_aux_100pct
simclr-init,cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),1.06,2.11,2.02,2.84,3.97,6.74,9.44,23.85,52.78,,,0.09,0.59,0.57,1.00,1.41,2.81,3.87,7.97,8.46,,,3,3,3,3,3,3,3,3,3,diaggrid_simclr_cub_3pct diaggrid_simclr_cub_5pct diaggrid_simclr_cub_7pct diaggrid_simclr_cub_10pct diaggrid_simclr_cub_15pct diaggrid_simclr_cub_20pct diaggrid_ssl_cub_25pct diaggrid_simclr_cub_50pct diaggrid_ssl_cub_100pct
simsiam-init,cub,resnet18,variant,n/a (<1 batch),n/a (<1 batch),0.94,1.55,1.48,1.77,2.50,4.06,5.90,17.35,46.04,,,-0.03,0.02,0.03,-0.08,-0.06,0.14,0.33,1.47,1.73,,,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_cub_3pct diaggrid_simsiam_cub_5pct diaggrid_simsiam_cub_7pct diaggrid_simsiam_cub_10pct diaggrid_simsiam_cub_15pct diaggrid_simsiam_cub_20pct diaggrid_simsiam_cub_25pct diaggrid_simsiam_cub_50pct diaggrid_simsiam_cub_100pct
BASELINE,cub,resnet34,baseline,n/a (<1 batch),n/a (<1 batch),,1.51,,1.97,,,5.91,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_cub_none_5pct diagdepth_r34_cub_none_10pct diagdepth_r34_cub_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",cub,resnet34,variant,n/a (<1 batch),n/a (<1 batch),,1.47,,2.07,,,6.60,,,,,,-0.04,,0.09,,,0.69,,,,,,3,,3,,,3,,,diagdepth_r34_cub_aux_5pct diagdepth_r34_cub_aux_10pct diagdepth_r34_cub_aux_25pct
BASELINE,cub,resnet50,baseline,n/a (<1 batch),n/a (<1 batch),,1.35,,1.70,,,4.41,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_cub_none_5pct diagdepth_r50_cub_none_10pct diagdepth_r50_cub_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",cub,resnet50,variant,n/a (<1 batch),n/a (<1 batch),,1.39,,2.08,,,6.45,,,,,,0.04,,0.37,,,2.05,,,,,,3,,3,,,3,,,diagdepth_r50_cub_aux_5pct diagdepth_r50_cub_aux_10pct diagdepth_r50_cub_aux_25pct
BASELINE  [adamw],cub,swin_tiny,baseline,n/a (<1 batch),n/a (<1 batch),0.87,1.30,1.44,1.73,1.56,1.33,0.89,0.97,0.63,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_swin_cub_none_3pct diaggrid_swin_cub_none_5pct diaggrid_swin_cub_none_7pct diaggrid_swin_cub_none_10pct diaggrid_swin_cub_none_15pct diaggrid_swin_cub_none_20pct diaggrid_swin_cub_none_25pct diaggrid_swin_cub_none_50pct diaggrid_swin_cub_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",cub,swin_tiny,variant,n/a (<1 batch),n/a (<1 batch),0.79,1.42,1.33,1.67,2.24,2.73,3.54,5.28,10.26,,,-0.07,0.12,-0.10,-0.06,0.68,1.40,2.65,4.31,9.62,,,3,3,3,3,3,3,3,3,3,diaggrid_swin_cub_aux_3pct diaggrid_swin_cub_aux_5pct diaggrid_swin_cub_aux_7pct diaggrid_swin_cub_aux_10pct diaggrid_swin_cub_aux_15pct diaggrid_swin_cub_aux_20pct diaggrid_swin_cub_aux_25pct diaggrid_swin_cub_aux_50pct diaggrid_swin_cub_aux_100pct
BASELINE  [adamw],cub,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),1.06,1.67,1.69,2.30,2.40,3.19,3.95,4.91,8.54,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_vit_cub_none_3pct diaggrid_vit_cub_none_5pct diaggrid_vit_cub_none_7pct diaggrid_vit_cub_none_10pct diaggrid_vit_cub_none_15pct diaggrid_vit_cub_none_20pct diaggrid_vit_cub_none_25pct diaggrid_vit_cub_none_50pct diaggrid_vit_cub_none_100pct
deit-aug  [adamw],cub,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),1.20,2.09,1.78,2.67,3.66,3.32,3.61,3.20,7.64,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_deit_cub_none_3pct diaggrid_deit_cub_none_5pct diaggrid_deit_cub_none_7pct diaggrid_deit_cub_none_10pct diaggrid_deit_cub_none_15pct diaggrid_deit_cub_none_20pct diaggrid_deit_cub_none_25pct diaggrid_deit_cub_none_50pct diaggrid_deit_cub_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",cub,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),1.20,1.87,1.87,2.38,2.92,3.96,5.21,9.38,15.71,,,0.14,0.20,0.18,0.09,0.51,0.77,1.26,4.47,7.17,,,3,3,3,3,3,3,3,3,3,diaggrid_vit_cub_aux_3pct diaggrid_vit_cub_aux_5pct diaggrid_vit_cub_aux_7pct diaggrid_vit_cub_aux_10pct diaggrid_vit_cub_aux_15pct diaggrid_vit_cub_aux_20pct diaggrid_vit_cub_aux_25pct diaggrid_vit_cub_aux_50pct diaggrid_vit_cub_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",cub,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),1.09,2.61,2.59,3.55,4.72,6.59,8.32,13.28,20.26,,,-0.11,0.51,0.81,0.88,1.06,3.27,4.72,10.09,12.62,,,3,3,3,3,3,3,3,3,3,diaggrid_deit_cub_aux_3pct diaggrid_deit_cub_aux_5pct diaggrid_deit_cub_aux_7pct diaggrid_deit_cub_aux_10pct diaggrid_deit_cub_aux_15pct diaggrid_deit_cub_aux_20pct diaggrid_deit_cub_aux_25pct diaggrid_deit_cub_aux_50pct diaggrid_deit_cub_aux_100pct
dino-init  [adamw],cub,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),1.14,1.73,1.58,2.19,2.69,3.33,3.99,6.64,12.39,,,0.07,0.06,-0.11,-0.10,0.28,0.14,0.05,1.74,3.85,,,3,3,3,3,3,3,3,3,3,diaggrid_dino_cub_3pct diaggrid_dino_cub_5pct diaggrid_dino_cub_7pct diaggrid_dino_cub_10pct diaggrid_dino_cub_15pct diaggrid_dino_cub_20pct diaggrid_dino_cub_25pct diaggrid_dino_cub_50pct diaggrid_dino_cub_100pct
BASELINE,dtd,mobilenetv3_small_100,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),5.82,7.45,8.67,11.70,13.01,14.61,22.46,36.76,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,grid_mnet_dtd_none_5pct grid_mnet_dtd_none_7pct grid_mnet_dtd_none_10pct grid_mnet_dtd_none_15pct grid_mnet_dtd_none_20pct grid_mnet_dtd_none_25pct grid_mnet_dtd_none_50pct grid_mnet_dtd_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",dtd,mobilenetv3_small_100,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),5.64,7.68,9.34,12.30,14.24,16.47,25.27,34.79,,,,-0.18,0.23,0.67,0.60,1.22,1.86,2.80,-1.97,,,,3,3,3,3,3,3,3,3,grid_mnet_dtd_aux_5pct grid_mnet_dtd_aux_7pct grid_mnet_dtd_aux_10pct grid_mnet_dtd_aux_15pct grid_mnet_dtd_aux_20pct grid_mnet_dtd_aux_25pct grid_mnet_dtd_aux_50pct grid_mnet_dtd_aux_100pct
BASELINE,dtd,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),12.41,15.62,18.69,22.82,27.54,31.03,43.42,56.97,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,diagtransfer2_dtd_none_5pct diagtransfer2_dtd_none_7pct diagtransfer2_dtd_none_10pct diagtransfer2_dtd_none_15pct diagtransfer2_dtd_none_20pct diagtransfer2_dtd_none_25pct diagtransfer2_dtd_none_50pct diagtransfer2_dtd_none_100pct
BASELINE,dtd,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.35,9.75,11.10,13.58,14.75,17.23,26.03,43.51,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,grid_dtd_r18_0ca6c1_5pct grid_dtd_r18_0ca6c1_7pct grid_dtd_r18_0ca6c1_10pct grid_dtd_r18_0ca6c1_15pct grid_dtd_r18_0ca6c1_20pct grid_dtd_r18_0ca6c1_25pct grid_dtd_r18_0ca6c1_50pct grid_dtd_r18_0ca6c1_100pct
"aux(magnitude3@L3,L1.0>0.0,hn)",dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.90,11.21,13.01,15.51,16.81,20.27,30.90,46.74,,,,0.55,1.45,1.91,1.93,2.06,3.03,4.88,3.23,,,,3,3,3,3,3,3,3,3,grid_mag3_dtd_5pct grid_mag3_dtd_7pct grid_mag3_dtd_10pct grid_mag3_dtd_15pct grid_mag3_dtd_20pct grid_mag3_dtd_25pct grid_mag3_dtd_50pct grid_mag3_dtd_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.78,10.98,12.43,15.53,16.74,20.18,30.82,47.80,,,,0.43,1.22,1.33,1.95,1.99,2.94,4.79,4.29,,,,3,3,3,3,3,3,3,3,grid_mag6o_dtd_5pct grid_mag6o_dtd_7pct grid_mag6o_dtd_10pct grid_mag6o_dtd_15pct grid_mag6o_dtd_20pct grid_mag6o_dtd_25pct grid_mag6o_dtd_50pct grid_mag6o_dtd_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),6.95,6.19,7.34,11.79,14.04,18.87,23.78,41.93,,,,-5.46,-9.43,-11.35,-11.03,-13.49,-12.16,-19.65,-15.04,,,,3,3,3,3,3,3,3,3,diagtransfer2_dtd_aux_5pct diagtransfer2_dtd_aux_7pct diagtransfer2_dtd_aux_10pct diagtransfer2_dtd_aux_15pct diagtransfer2_dtd_aux_20pct diagtransfer2_dtd_aux_25pct diagtransfer2_dtd_aux_50pct diagtransfer2_dtd_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.65,11.44,12.66,15.73,17.02,20.35,30.90,47.06,,,,0.30,1.68,1.56,2.15,2.27,3.12,4.88,3.55,,,,3,3,3,3,3,3,3,3,grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_5pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_7pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_10pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_15pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_20pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_25pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_50pct grid_dtd_r18_axmagnitudeL3_l10to00_hn_742cfa_100pct
simclr-init,dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),9.47,12.89,15.11,22.57,26.29,29.91,41.54,53.23,,,,1.12,3.14,4.01,8.99,11.54,12.68,15.51,9.72,,,,3,3,3,3,3,3,3,3,diaggrid_ssl_dtd_5pct diaggrid_simclr_dtd_7pct diaggrid_ssl_dtd_10pct diaggrid_simclr_dtd_15pct diaggrid_simclr_dtd_20pct diaggrid_ssl_dtd_25pct diaggrid_simclr_dtd_50pct diaggrid_ssl_dtd_100pct
simsiam-init,dtd,resnet18,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.48,9.57,10.73,13.32,14.63,17.23,26.76,43.67,,,,0.12,-0.18,-0.37,-0.27,-0.12,0.00,0.73,0.16,,,,3,3,3,3,3,3,3,3,diaggrid_simsiam_dtd_5pct diaggrid_simsiam_dtd_7pct diaggrid_simsiam_dtd_10pct diaggrid_simsiam_dtd_15pct diaggrid_simsiam_dtd_20pct diaggrid_simsiam_dtd_25pct diaggrid_simsiam_dtd_50pct diaggrid_simsiam_dtd_100pct
BASELINE,dtd,resnet34,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.21,,10.59,,,17.16,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_dtd_none_5pct diagdepth_r34_dtd_none_10pct diagdepth_r34_dtd_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",dtd,resnet34,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.65,,12.85,,,19.79,,,,,,0.44,,2.27,,,2.62,,,,,,3,,3,,,3,,,diagdepth_r34_dtd_aux_5pct diagdepth_r34_dtd_aux_10pct diagdepth_r34_dtd_aux_25pct
BASELINE,dtd,resnet50,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),7.89,,10.46,,,16.90,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_dtd_none_5pct diagdepth_r50_dtd_none_10pct diagdepth_r50_dtd_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",dtd,resnet50,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),7.64,,11.40,,,19.88,,,,,,-0.25,,0.94,,,2.98,,,,,,3,,3,,,3,,,diagdepth_r50_dtd_aux_5pct diagdepth_r50_dtd_aux_10pct diagdepth_r50_dtd_aux_25pct
BASELINE  [adamw],dtd,swin_tiny,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),5.32,6.49,6.38,7.11,5.12,5.73,3.88,5.28,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,diaggrid_swin_dtd_none_5pct diaggrid_swin_dtd_none_7pct diaggrid_swin_dtd_none_10pct diaggrid_swin_dtd_none_15pct diaggrid_swin_dtd_none_20pct diaggrid_swin_dtd_none_25pct diaggrid_swin_dtd_none_50pct diaggrid_swin_dtd_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",dtd,swin_tiny,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),6.38,8.95,9.45,12.75,14.65,17.30,25.05,35.66,,,,1.06,2.46,3.07,5.64,9.52,11.58,21.17,30.37,,,,3,3,3,3,3,3,3,3,diaggrid_swin_dtd_aux_5pct diaggrid_swin_dtd_aux_7pct diaggrid_swin_dtd_aux_10pct diaggrid_swin_dtd_aux_15pct diaggrid_swin_dtd_aux_20pct diaggrid_swin_dtd_aux_25pct diaggrid_swin_dtd_aux_50pct diaggrid_swin_dtd_aux_100pct
BASELINE  [adamw],dtd,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),6.88,8.24,8.30,10.00,11.10,12.04,13.94,21.86,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,diaggrid_vit_dtd_none_5pct diaggrid_vit_dtd_none_7pct diaggrid_vit_dtd_none_10pct diaggrid_vit_dtd_none_15pct diaggrid_vit_dtd_none_20pct diaggrid_vit_dtd_none_25pct diaggrid_vit_dtd_none_50pct diaggrid_vit_dtd_none_100pct
deit-aug  [adamw],dtd,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),6.65,7.71,8.44,8.62,11.49,10.90,14.22,13.19,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,diaggrid_deit_dtd_none_5pct diaggrid_deit_dtd_none_7pct diaggrid_deit_dtd_none_10pct diaggrid_deit_dtd_none_15pct diaggrid_deit_dtd_none_20pct diaggrid_deit_dtd_none_25pct diaggrid_deit_dtd_none_50pct diaggrid_deit_dtd_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",dtd,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),7.85,9.18,9.80,13.62,14.89,17.06,23.78,33.60,,,,0.98,0.94,1.51,3.62,3.79,5.02,9.84,11.74,,,,3,3,3,3,3,3,3,3,diaggrid_vit_dtd_aux_5pct diaggrid_vit_dtd_aux_7pct diaggrid_vit_dtd_aux_10pct diaggrid_vit_dtd_aux_15pct diaggrid_vit_dtd_aux_20pct diaggrid_vit_dtd_aux_25pct diaggrid_vit_dtd_aux_50pct diaggrid_vit_dtd_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",dtd,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),8.90,11.79,13.23,19.82,22.39,25.14,31.52,38.74,,,,2.25,4.08,4.79,11.21,10.90,14.24,17.30,25.55,,,,3,3,3,3,3,3,3,3,diaggrid_deit_dtd_aux_5pct diaggrid_deit_dtd_aux_7pct diaggrid_deit_dtd_aux_10pct diaggrid_deit_dtd_aux_15pct diaggrid_deit_dtd_aux_20pct diaggrid_deit_dtd_aux_25pct diaggrid_deit_dtd_aux_50pct diaggrid_deit_dtd_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + dino-init  [adamw]",dtd,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),,,,,,,21.26,,,,,,,,,,,7.32,,,,,,,,,,,3,,diagprosp_dinoaux_dtd_50pct
dino-init  [adamw],dtd,vit_tiny,variant,n/a (<1 batch),n/a (<1 batch),n/a (<1 batch),6.74,8.28,8.76,9.31,10.96,11.88,15.30,24.52,,,,-0.14,0.04,0.46,-0.69,-0.14,-0.16,1.37,2.66,,,,3,3,3,3,3,3,3,3,diaggrid_dino_dtd_5pct diaggrid_dino_dtd_7pct diaggrid_dino_dtd_10pct diaggrid_dino_dtd_15pct diaggrid_dino_dtd_20pct diaggrid_dino_dtd_25pct diaggrid_dino_dtd_50pct diaggrid_dino_dtd_100pct
BASELINE,eurosat,mobilenetv3_small_100,baseline,61.47,71.59,70.70,80.10,79.29,88.09,92.28,92.72,95.07,96.64,97.74,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_esat_none_1pct grid_mnet_esat_none_2pct grid_mnet_esat_none_3pct grid_mnet_esat_none_5pct grid_mnet_esat_none_7pct grid_mnet_esat_none_10pct grid_mnet_esat_none_15pct grid_mnet_esat_none_20pct grid_mnet_esat_none_25pct grid_mnet_esat_none_50pct grid_mnet_esat_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",eurosat,mobilenetv3_small_100,variant,64.09,71.30,76.22,80.44,84.29,86.90,92.78,92.79,95.61,97.09,97.98,2.62,-0.29,5.51,0.34,5.00,-1.20,0.50,0.07,0.54,0.46,0.24,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_esat_aux_1pct grid_mnet_esat_aux_2pct grid_mnet_esat_aux_3pct grid_mnet_esat_aux_5pct grid_mnet_esat_aux_7pct grid_mnet_esat_aux_10pct grid_mnet_esat_aux_15pct grid_mnet_esat_aux_20pct grid_mnet_esat_aux_25pct grid_mnet_esat_aux_50pct grid_mnet_esat_aux_100pct
BASELINE,eurosat,resnet18,baseline,76.59,83.46,86.99,92.42,93.59,95.37,96.69,97.40,97.75,98.46,98.79,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_esat_none_1pct diagtransfer2_esat_none_2pct diagtransfer2_esat_none_3pct diagtransfer_eurosat_base_5pct diagtransfer2_esat_none_7pct diagtransfer2_esat_none_10pct diagtransfer2_esat_none_15pct diagtransfer2_esat_none_20pct diagtransfer2_esat_none_25pct diagtransfer2_esat_none_50pct diagtransfer2_esat_none_100pct
BASELINE,eurosat,resnet18,baseline,67.47,77.98,83.90,90.80,92.25,93.67,96.04,96.98,97.44,98.16,98.73,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_esat_r18_e99fb4_1pct grid_esat_r18_e99fb4_2pct grid_esat_r18_e99fb4_3pct grid_esat_r18_e99fb4_5pct grid_esat_r18_e99fb4_7pct grid_esat_r18_e99fb4_10pct grid_esat_r18_e99fb4_15pct grid_esat_r18_e99fb4_20pct grid_esat_r18_e99fb4_25pct grid_esat_r18_e99fb4_50pct grid_esat_r18_e99fb4_100pct
deit-aug,eurosat,resnet18,baseline,,,,83.12,,93.54,,,97.56,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagfuse_esat_aug_5pct diagfuse_esat_aug_10pct diagfuse_esat_aug_25pct
"aux(magnitude3@L3,L1.0>0.0,hn)",eurosat,resnet18,variant,70.23,79.67,85.71,91.46,93.39,94.53,96.05,96.86,97.29,98.22,98.66,2.76,1.69,1.81,0.67,1.14,0.86,0.01,-0.12,-0.15,0.06,-0.07,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_esat_1pct grid_mag3_esat_2pct grid_mag3_esat_3pct grid_mag3_eurosat_5pct grid_mag3_esat_7pct grid_mag3_esat_10pct grid_mag3_esat_15pct grid_mag3_esat_20pct grid_mag3_eurosat_25pct grid_mag3_esat_50pct grid_mag3_esat_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",eurosat,resnet18,variant,70.29,80.04,85.99,91.72,93.88,94.92,96.15,96.86,97.23,98.23,98.58,2.82,2.06,2.09,0.93,1.63,1.25,0.12,-0.11,-0.22,0.07,-0.15,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_esat_1pct grid_mag6o_esat_2pct grid_mag6o_esat_3pct grid_mag6o_eurosat_5pct grid_mag6o_esat_7pct grid_mag6o_esat_10pct grid_mag6o_esat_15pct grid_mag6o_esat_20pct grid_mag6o_eurosat_25pct grid_mag6o_esat_50pct grid_mag6o_esat_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosat,resnet18,variant,50.28,76.31,81.23,88.08,89.93,92.67,95.08,96.38,97.14,98.24,98.73,-26.31,-7.15,-5.75,-4.34,-3.67,-2.70,-1.60,-1.02,-0.61,-0.22,-0.06,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_esat_aux_1pct diagtransfer2_esat_aux_2pct diagtransfer2_esat_aux_3pct diagtransfer_eurosat_aux_5pct diagtransfer2_esat_aux_7pct diagtransfer2_esat_aux_10pct diagtransfer2_esat_aux_15pct diagtransfer2_esat_aux_20pct diagtransfer2_esat_aux_25pct diagtransfer2_esat_aux_50pct diagtransfer2_esat_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosat,resnet18,variant,69.94,79.59,85.67,91.64,93.54,94.90,96.20,96.85,97.32,98.26,98.59,2.47,1.60,1.77,0.84,1.30,1.22,0.16,-0.12,-0.12,0.10,-0.14,3,3,3,3,3,3,3,3,3,3,3,grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_1pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_2pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_3pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_7pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_15pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_20pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_50pct grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + deit-aug",eurosat,resnet18,variant,,,,88.56,,94.35,,,97.19,,,,,,5.44,,0.81,,,-0.37,,,,,,3,,3,,,3,,,diagfuse_esat_prioraug_5pct diagfuse_esat_prioraug_10pct diagfuse_esat_prioraug_25pct
"aux(magnitude@L3,L1.0>0.0,hn) + simclr-init",eurosat,resnet18,variant,,,,90.13,,94.02,,,97.20,,,,,,-0.67,,0.35,,,-0.25,,,,,,3,,3,,,3,,,diagfuse_esat_priorssl_5pct diagfuse_esat_priorssl_10pct diagfuse_esat_priorssl_25pct
simclr-init,eurosat,resnet18,variant,69.35,80.09,84.24,89.79,92.10,94.13,95.95,96.91,97.34,98.19,98.63,1.88,2.11,0.34,-1.01,-0.15,0.46,-0.09,-0.06,-0.10,0.03,-0.10,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simclr_esat_1pct diaggrid_simclr_esat_2pct diaggrid_simclr_esat_3pct diaggrid_simclr_esat_5pct diaggrid_simclr_esat_7pct diaggrid_simclr_esat_10pct diaggrid_simclr_esat_15pct diaggrid_simclr_esat_20pct diaggrid_simclr_esat_25pct diaggrid_simclr_esat_50pct diaggrid_simclr_esat_100pct
simclr-init,eurosat,resnet18,variant,,,,89.79,,94.13,,,97.34,,98.63,,,,-1.01,,0.46,,,-0.10,,-0.10,,,,3,,3,,,3,,3,diaggrid_ssl_eurosat_5pct diaggrid_ssl_eurosat_10pct diaggrid_ssl_eurosat_25pct diaggrid_ssl_eurosat_100pct
simclr-init + deit-aug,eurosat,resnet18,variant,,,,89.14,,,,,,,,,,,6.02,,,,,,,,,,,3,,,,,,,,diagprosp_augssl_esat_5pct
